Breed,Age_in_years,Age_in_months,Gender,Neutered_or_spayed,Body_length,Weight,Fur_colour_dominant,Fur_pattern,Eye_colour,Allowed_outdoor,Preferred_food,Owner_play_time_minutes,Sleep_time_hours,Country,Latitude,Longitude
Angora,0.25,3,female,False,19,2.0,white,solid,blue,FALSE,wet,46,16,France,43.296482,5.36978
Angora,0.33,4,male,False,19,2.5,white,solid,blue,FALSE,wet,48,16,France,43.61166,3.87771
Angora,0.5,57,male,False,20,2.8,seal,solid,green,I never allow my kitty outside!!!!!,wet,41,11,France,44.837789,-0.57918
Ankora,0.5,57,male,False,21,3.0,white,dirty,blue,FALSE,wet,24,8,France,43.61166,3.87771
Angora,0.5,57,male,True,21,3.0,red/cream,tabby,green,FALSE,wet,51,10,France,48.864716,2.349014
Ragdoll,0.5,6,female,False,21,3.0,white,solid,amber,FALSE,a lot of food,30,28,France,43.61166,3.87771
Angora,0.58,57,male,True,22,3.0,white,solid,amber,FALSE,wet,47,9,France,47.218371,-1.553621
Angora,4.75,7,male,True,23,3.0,red/cream,solid,cute,FALSE,wet,55,11,France,47.218371,-1.553621
Angora,4.75,7,female,True,25,3.0,black,solid,blue,FALSE,wet,20,12,France,43.296482,5.36978
Angora,4.75,8,female,True,25,320.0,white,solid,blue,FALSE,wet,33,17,France,44.837789,-0.57918
Ragdoll,0.67,8,female,False,26,3.0,black,solid,green,FALSE,wet,39,18,France,43.296482,5.36978
Angora,0.67,8,male,True,26,3.3,white,solid,amber,FALSE,wet,23,16,France,43.61166,3.87771
Angora,0.75,9,male,True,27,3.3,white,solid,amber,FALSE,wet,23,16,France,48.864716,2.349014
Angora,-1.083333333,-13,male,True,28,3.2,white,solid,blue,FALSE,wet,35,14,France,45.76342,4.834277
Angora,-1.333333333,-16,male,True,30,3.5,red/cream,tabby,blue,FALSE,dry,38,20,France,48.864716,2.349014
Ragdoll,0.83,10,male,False,31,3.4,white,solid,green,FALSE,dry,56,17,France,48.864716,2.349014
Ragdoll,4.75,57,male,True,41,5.0,seal,solid,green,FALSE,wet,48,14,Usa,47.218371,-1.553621
Ragdoll,0.92,11,female,True,31,3.9,white,solid,blue,FALSE,wet,55,32,Usa,44.837789,-0.57918
Angora,-1.0,-12,male,True,31,3.5,white,solid,blue,TRUE,wet,42,14,Usa,43.296482,5.36978
Angora,1.0,12,male,True,35,3.9,white,solid,amber,FALSE,wet,41,17,Usa,45.76342,4.834277
Angora,4.33,57,male,True,25,4.0,white,solid,blue,FALSE,dry,36,14,France,44.837789,-0.57918
angora,1.17,57,female,True,34,3.8,white,solid,blue,TRUE,wet,23,17,France,48.864716,2.349014
Ankora,3.0,57,male,True,38,5.0,white,solid,amber,FALSE,wet,16,14,France,43.296482,5.36978
Ankora,1.17,57,female,True,25,3.0,white,solid,amber,FALSE,wet,19,17,France,45.76342,4.834277
Angora,4.0,57,male,True,39,4.6,white,dirty,cute,FALSE,wet,33,14,La france!!!!,45.76342,4.834277
Angora,5.83,57,male,True,37,4.6,black,solid,green,TRUE,dry,9,16,France,48.864716,2.349014
Angora,1.25,15,female,True,26,3.4,white,solid,blue,FALSE,wet,25,15,France,43.296482,5.36978
Angora,5.33,64,male,True,44,4.6,white,solid,blue,TRUE,wet,20,16,France,44.837789,-0.57918
Angora,4.75,15,male,True,40,3.8,red/cream,tabby,blue,FALSE,wet,35,17,France,45.76342,4.834277
Angora,4.75,59,male,False,41,5.0,black,solid,green,FALSE,dry,31,14,France,47.218371,-1.553621
Angora,4.75,18,male,False,40,3.6,white,solid,blue,FALSE,wet,27,14,France,43.296482,5.36978
Angora,1.58,19,female,True,33,3.5,white,solid,blue,FALSE,dry,18,18,France,48.864716,2.349014
Angora,1.58,19,female,True,33,3.2,white,solid,blue,TRUE,wet,12,19,France,48.864716,2.349014
Angora,4.5,54,male,True,37,5.6,white,solid,blue,FALSE,wet,9,14,France,47.218371,-1.553621
Angora,4.75,57,male,False,41,4.2,black,solid,blue,TRUE,dry,19,14,France,44.837789,-0.57918
Ragdoll,1.67,20,female,True,35,5.0,white,solid,blue,FALSE,wet,10,15,France,45.76342,4.834277
Ragdoll,1.67,20,male,True,28,3.1,white,solid,blue,FALSE,wet,39,18,France,43.296482,5.36978
Ragdoll,1.67,20,male,False,36,3.9,black,solid,blue,FALSE,wet,35,19,France,43.61166,3.87771
Ragdoll,1.75,21,female,True,28,4.9,white,solid,amber,FALSE,wet,10,17,France,48.864716,2.349014
Angora,1.75,21,male,True,34,4.7,black,solid,blue,FALSE,dry,23,19,France,45.76342,4.834277
Angora,1.75,21,male,False,34,4.0,white,solid,blue,TRUE,wet,25,20,France,44.837789,-0.57918
Angora,1.83,22,male,True,22,2.9,black,solid,green,FALSE,wet,40,20,France,44.837789,-0.57918
Angora,1.83,22,male,False,41,4.7,white,solid,blue,FALSE,dry,45,20,France,43.61166,3.87771
Ankora,1.83,22,male,True,24,4.3,black,bicolor,amber,TRUE,wet,30,16,France,48.864716,2.349014
Ankora,1.92,23,male,False,35,2.7,white,solid,amber,FALSE,dry,21,18,France,43.61166,3.87771
Ankora,1.92,57,male,True,33,3.4,white,solid,amber,FALSE,wet,14,16,France,44.837789,-0.57918
Angora,2.0,57,female,False,32,2.4,black,solid,green,FALSE,wet,11,14,France,47.218371,-1.553621
Angora,2.0,57,female,True,35,3.8,white,solid,blue,FALSE,wet,15,14,France,48.864716,2.349014
Angora,2.0,57,male,True,38,3.7,white,solid,blue,TRUE,dry,23,16,France,44.837789,-0.57918
Angora,2.08,57,female,False,33,2.9,white,solid,amber,FALSE,wet,36,14,France,48.864716,2.349014
Angora,2.08,57,male,False,41,4.1,black,solid,cute,FALSE,wet,11,16,France,48.864716,2.349014
Angora,2.17,57,female,True,35,2.6,white,solid,blue,FALSE,wet,28,17,France,48.864716,2.349014
Angora,2.25,27,male,False,38,4.6,red/cream,tabby,blue,FALSE,wet,11,14,France,44.837789,-0.57918
Angora,2.25,27,female,False,34,3.7,black,solid,green,FALSE,wet,10,14,France,43.61166,3.87771
Angora,2.25,27,male,True,25,3.1,white,solid,amber,FALSE,wet,39,16,France,47.218371,-1.553621
Angora,2.25,27,male,True,38,5.3,white,solid,amber,FALSE,wet,39,14,Vive la france!,48.864716,2.349014
Angora,2.33,28,female,False,36,4.0,red/cream,solid,blue,FALSE,dry,19,14,France,47.218371,-1.553621
Angora,2.33,28,female,False,36,2.4,white,dirty,blue,FALSE,wet,19,16,France,45.76342,4.834277
Angora,2.33,28,male,True,39,3.9,white,solid,blue,FALSE,wet,34,14,France,45.76342,4.834277
Ragdoll,2.33,28,female,True,36,3.3,white,solid,amber,FALSE,dry,32,17,France,45.76342,4.834277
Ragdoll,2.33,28,female,True,39,2.7,black,solid,green,TRUE,dry,33,14,France,43.296482,5.36978
Ragdoll,2.42,29,male,False,39,4.3,white,solid,blue,FALSE,wet,37,14,France,48.864716,2.349014
Ragdoll,2.5,30,female,True,35,3.6,white,solid,green,FALSE,wet,18,14,France,44.837789,-0.57918
Ragdoll,2.5,30,male,False,37,4.7,white,solid,amber,FALSE,wet,44,16,France,44.837789,-0.57918
Ragdoll,2.58,31,male,True,40,4.5,red/cream,solid,blue,FALSE,wet,38,14,France,48.864716,2.349014
Ragdoll,2.58,31,male,True,41,5.0,seal,solid,blue,FALSE,wet,30,16,France,44.837789,-0.57918
Angora,2.67,32,female,True,38,3.9,red/cream,solid,blue,FALSE,wet,37,14,France,44.837789,-0.57918
Angora,2.67,32,male,False,40,4.0,black,solid,blue,FALSE,dry,30,14,France,43.296482,5.36978
Angora,2.67,32,female,True,34,3.9,black,solid,green,TRUE,dry,21,14,France,45.76342,4.834277
Angora,2.92,35,female,True,34,4.1,white,solid,green,TRUE,wet,28,14,France,43.296482,5.36978
Angora,2.92,35,female,True,32,2.5,white,solid,amber,FALSE,wet,33,14,France,48.864716,2.349014
Angora,2.92,35,male,True,41,3.8,white,solid,amber,FALSE,wet,21,14,Usa,40.71427,-74.00597
Angora,2.92,35,male,False,39,4.1,white,solid,blue,FALSE,wet,28,14,Usa,40.71427,-74.00597
Angora,3.0,36,male,True,39,4.4,white,solid,green,FALSE,dry,16,15,Usa,40.71427,-74.00597
Angora,3.0,36,male,False,39,4.8,white,solid,blue,FALSE,wet,44,14,Usa,37.77493,-122.41942
Angora,3.08,37,male,True,39,5.1,red/cream,tabby,blue,FALSE,dry,25,16,Usa,47.60621,-122.33207
Ankora,3.08,37,male,True,38,3.7,black,solid,green,TRUE,wet,25,14,Usa,47.60621,-122.33207
Ankora,3.08,37,male,True,40,5.3,white,solid,blue,FALSE,dry,11,14,France,44.837789,-0.57918
Ankora,3.17,38,female,False,36,4.0,white,solid,amber,FALSE,wet,11,14,Usa,40.71427,-74.00597
Angora,3.25,39,male,False,40,4.5,black,bicolor,blue,FALSE,wet,12,16,Usa,47.60621,-122.33207
Angora,3.42,41,male,True,41,4.4,white,solid,amber,FALSE,dry,24,17,Usa,45.52345,-122.67621
Angora,3.5,42,male,True,39,4.8,black,solid,blue,FALSE,wet,15,16,Usa,45.52345,-122.67621
Angora,3.5,57,male,True,40,3.9,white,solid,green,TRUE,dry,13,16,Usa,47.60621,-122.33207
Angora,3.5,57,female,False,33,4.3,white,solid,amber,FALSE,dry,37,14,Usa,41.881832,-87.623177
Angora,3.58,57,female,True,35,3.4,white,solid,blue,FALSE,dry,23,16,France,48.864716,2.349014
Angora,3.58,43,female,True,34,3.3,white,solid,blue,FALSE,wet,20,14,Usa,41.881832,-87.623177
Angora,3.67,44,male,False,39,4.5,white,solid,amber,FALSE,wet,23,14,Usa,47.60621,-122.33207
Angora,3.67,44,male,False,37,4.6,white,solid,amber,FALSE,wet,32,14,France,43.61166,3.87771
Ragdoll,3.67,44,male,True,37,4.2,white,solid,blue,FALSE,wet,33,14,Usa,37.77493,-122.41942
Angora,3.75,45,male,True,43,3.9,white,solid,blue,FALSE,wet,38,14,Usa,39.29038,-76.61219
Angora,3.83,46,male,False,37,4.1,white,solid,green,FALSE,wet,38,16,Usa,38.89511,-77.03637
Angora,3.83,46,male,True,40,4.8,black,bicolor,amber,TRUE,wet,11,15,Usa,40.71427,-74.00597
Angora,4.75,46,male,False,39,4.0,red/cream,tabby,blue,FALSE,dry,18,14,France,47.218371,-1.553621
Ragdoll,3.92,47,female,True,34,4.7,white,solid,amber,FALSE,dry,25,14,Usa,40.71427,-74.00597
Angora,4.75,47,female,True,37,3.3,black,solid,amber,FALSE,dry,25,15,Usa,42.35843,-71.05977
Angora,4.75,47,female,True,35,2.8,white,solid,blue,FALSE,wet,28,14,Usa,38.89511,-77.03637
Angora,3.92,47,male,True,39,4.4,white,solid,blue,FALSE,wet,23,15,Usa,41.881832,-87.623177
Angora,4.0,48,male,True,36,4.8,white,solid,green,FALSE,wet,28,17,Usa,38.89511,-77.03637
Ragdoll,4.08,49,male,False,37,4.8,white,solid,green,FALSE,wet,38,14,Usa,39.29038,-76.61219
Angora,4.08,49,female,True,35,4.7,white,solid,blue,FALSE,wet,11,14,Usa,40.71427,-74.00597
Angora,4.08,49,male,True,37,5.6,white,solid,blue,FALSE,wet,12,14,Usa,42.35843,-71.05977
Angora,4.17,50,female,True,37,3.8,white,solid,amber,FALSE,dry,23,14,Usa,42.35843,-71.05977
Angora,4.17,50,male,True,41,4.5,white,solid,amber,FALSE,wet,24,16,Usa,38.89511,-77.03637
Angora,4.17,50,female,True,35,2.8,white,solid,amber,TRUE,dry,28,14,Usa,45.52345,-122.67621
Angora,-4.25,-51,male,True,37,4.6,white,solid,amber,FALSE,dry,36,14,France,45.76342,4.834277
Angora,-4.333333333,-52,female,True,34,4.3,white,solid,cute,FALSE,wet,37,16,Usa,42.35843,-71.05977
Angora,-4.333333333,-52,female,True,35,3.8,black,solid,amber,FALSE,wet,30,14,Usa,45.52345,-122.67621
Angora,-4.333333333,-52,female,True,32,2.4,white,solid,blue,FALSE,wet,40,14,Usa,47.60621,-122.33207
Angora,-4.416666667,-53,male,False,39,4.4,white,solid,blue,FALSE,wet,34,16,Usa,38.89511,-77.03637
Angora,-4.5,-54,male,True,41,5.1,white,solid,amber,FALSE,dry,19,14,Usa,40.71427,-74.00597
Angora,-4.5,-54,male,False,39,4.3,white,solid,blue,FALSE,wet,39,16,Usa,37.77493,-122.41942
Angora,-4.583333333,-55,female,False,35,3.4,white,dirty,blue,FALSE,wet,36,14,Usa,40.71427,-74.00597
Angora,4.58,55,female,True,37,2.5,white,solid,amber,TRUE,wet,39,17,Usa,38.89511,-77.03637
Angora,4.58,55,male,False,35,4.3,white,solid,amber,FALSE,dry,36,17,Usa,38.89511,-77.03637
Angora,4.58,55,female,True,37,3.4,white,solid,cute,FALSE,dry,24,14,Usa,38.89511,-77.03637
Angora,4.58,57,male,True,38,5.1,red/cream,solid,blue,FALSE,wet,17,14,Usa,38.89511,-77.03637
Angora,4.75,57,female,False,38,3.9,white,solid,amber,FALSE,wet,14,16,Usa,40.71427,-74.00597
Angora,4.75,57,female,True,38,3.1,white,solid,amber,FALSE,dry,23,14,Usa,38.89511,-77.03637
Angora,4.75,57,male,False,37,4.0,white,solid,blue,FALSE,dry,32,16,Usa,40.71427,-74.00597
Angora,4.83,57,male,True,40,4.5,white,solid,amber,FALSE,wet,18,14,Usa,37.77493,-122.41942
Angora,4.83,57,female,True,37,3.0,white,solid,amber,FALSE,wet,20,14,France,43.296482,5.36978
Angora,4.83,57,male,False,36,3.7,white,solid,blue,FALSE,wet,32,17,Usa,38.89511,-77.03637
Angora,4.92,57,male,True,36,4.4,white,solid,green,FALSE,dry,29,16,Usa,40.71427,-74.00597
Angora,4.92,59,male,False,41,4.9,white,solid,amber,FALSE,wet,14,14,Usa,38.89511,-77.03637
Angora,4.92,59,male,True,40,4.0,red/cream,tabby,amber,TRUE,wet,31,14,Usa,40.71427,-74.00597
Angora,4.92,59,female,True,38,4.6,white,solid,blue,FALSE,wet,28,17,Usa,41.881832,-87.623177
Angora,5.0,60,female,True,39,4.7,white,solid,blue,FALSE,dry,32,14,Usa,40.71427,-74.00597
Angora,5.0,60,male,True,37,5.2,white,solid,amber,FALSE,dry,29,14,Usa,45.52345,-122.67621
Ankora,5.08,61,male,True,40,4.7,white,solid,amber,FALSE,wet,31,14,Usa,42.35843,-71.05977
Ankora,5.08,61,female,False,39,3.4,white,solid,blue,FALSE,wet,27,16,Usa,42.35843,-71.05977
Ankora,5.08,61,female,True,37,3.1,white,solid,blue,FALSE,dry,29,14,Usa,40.71427,-74.00597
Ankora,5.17,62,female,False,39,3.9,white,solid,blue,FALSE,dry,35,17,Germany,50.110924,8.682127
Angora,5.17,62,female,True,34,3.4,white,solid,green,FALSE,dry,9,14,Germany,52.520008,13.404954
Angora,5.17,62,female,True,38,3.9,white,solid,green,TRUE,wet,9,14,Germany,48.137154,11.576124
Angora,5.17,62,female,False,38,2.7,white,solid,amber,FALSE,wet,27,14,Germany,48.137154,11.576124
Angora,5.17,62,male,True,36,4.3,white,solid,amber,FALSE,wet,19,14,Germany,48.137154,11.576124
Angora,5.17,62,male,True,40,4.9,white,solid,blue,FALSE,wet,39,14,Germany,50.110924,8.682127
Ragdoll,5.17,62,male,False,36,3.5,white,solid,blue,FALSE,wet,37,14,Germany,52.520008,13.404954
Ragdoll,5.17,62,female,False,39,4.1,white,solid,blue,FALSE,wet,17,16,Germany,50.110924,8.682127
Ragdoll,5.25,63,female,True,31,2.4,white,solid,blue,FALSE,wet,29,16,Germany,48.137154,11.576124
Ragdoll,5.25,63,female,False,37,3.1,white,solid,blue,FALSE,dry,23,14,Germany,52.520008,13.404954
Ragdoll,5.33,64,female,True,35,3.4,white,solid,blue,FALSE,dry,26,14,Germany,50.110924,8.682127
Ragdoll,5.33,64,male,False,36,4.5,white,solid,blue,FALSE,wet,9,14,Germany,52.520008,13.404954
Ragdoll,5.33,64,female,True,37,2.9,white,solid,blue,TRUE,dry,16,14,Germany,48.137154,11.576124
Ragdoll,5.42,65,male,True,38,4.3,black,solid,amber,FALSE,wet,23,17,Germany,50.110924,8.682127
Angora,5.42,65,female,False,39,4.1,white,solid,blue,FALSE,wet,27,17,Germany,51.227741,6.773456
Angora,5.5,66,male,True,40,5.2,white,solid,green,FALSE,dry,17,14,Germany,52.520008,13.404954
Angora,5.58,67,male,False,40,4.4,black,solid,blue,FALSE,wet,27,14,Germany,52.520008,13.404954
Angora,5.67,68,male,True,39,5.5,white,solid,cute,FALSE,wet,12,14,Germany,52.520008,13.404954
Angora,5.67,68,male,False,41,4.3,white,solid,blue,FALSE,dry,24,14,Germany,50.110924,8.682127
Angora,5.67,68,male,True,36,5.1,white,solid,green,FALSE,dry,37,14,Germany,52.520008,13.404954
Angora,5.67,68,male,True,37,5.3,red/cream,tabby,blue,FALSE,wet,37,15,Germany,51.227741,6.773456
Angora,5.75,69,male,False,39,4.4,white,solid,amber,FALSE,dry,39,15,Germany,50.110924,8.682127
Angora,5.75,69,female,True,38,4.4,black,bicolor,amber,FALSE,dry,18,14,Usa,42.35843,-71.05977
Angora,5.75,69,female,True,38,3.2,white,solid,amber,TRUE,wet,25,15,Usa,42.35843,-71.05977
Angora,5.75,69,female,True,31,3.1,white,solid,blue,FALSE,wet,9,15,Usa,40.71427,-74.00597
Angora,5.92,71,female,True,39,4.8,white,solid,green,FALSE,wet,12,16,Usa,42.35843,-71.05977
Ankora,5.92,71,male,False,38,4.3,white,dirty,green,FALSE,dry,26,13,Usa,40.71427,-74.00597
Ankora,5.92,71,male,True,41,3.9,white,solid,amber,FALSE,wet,29,13,Usa,42.35843,-71.05977
Ankora,5.92,71,female,True,36,4.7,white,solid,amber,FALSE,dry,29,16,Usa,40.71427,-74.00597
Angora,6.0,72,male,False,36,4.8,white,solid,blue,FALSE,wet,33,17,Usa,40.71427,-74.00597
Angora,6.0,72,female,False,36,3.6,white,solid,green,FALSE,dry,26,13,France,45.76342,4.834277
Angora,6.08,73,male,True,38,4.4,white,solid,blue,FALSE,wet,16,14,Usa,37.77493,-122.41942
Angora,6.08,73,female,True,38,3.4,white,solid,blue,FALSE,wet,38,16,Usa,38.89511,-77.03637
Angora,6.08,73,male,False,41,3.7,white,solid,blue,FALSE,dry,39,16,Usa,40.71427,-74.00597
Angora,6.25,75,male,False,39,4.2,white,solid,blue,FALSE,wet,24,13,Usa,37.77493,-122.41942
Angora,6.25,75,male,False,38,3.6,white,solid,amber,FALSE,wet,23,16,France,43.61166,3.87771
Angora,6.25,75,male,False,41,4.4,white,solid,amber,FALSE,wet,24,13,Usa,39.29038,-76.61219
Angora,6.33,76,male,False,37,3.1,white,solid,green,FALSE,dry,30,13,Usa,40.71427,-74.00597
Angora,6.42,77,male,True,36,4.7,white,solid,amber,FALSE,wet,12,16,Usa,41.881832,-87.623177
Angora,6.5,78,male,True,37,4.5,red/cream,solid,blue,FALSE,wet,30,17,Usa,47.60621,-122.33207
Angora,6.5,78,male,True,36,4.0,white,solid,blue,TRUE,dry,18,16,Usa,41.881832,-87.623177
Angora,6.5,78,male,False,39,4.2,black,bicolor,amber,FALSE,wet,15,17,Usa,47.60621,-122.33207
Angora,6.5,78,female,False,34,3.8,white,solid,blue,FALSE,wet,21,14,Usa,42.35843,-71.05977
Angora,6.5,78,female,True,38,5.2,white,solid,blue,FALSE,wet,9,13,Usa,40.71427,-74.00597
Angorra,6.58,79,male,False,40,4.2,red/cream,tabby,blue,FALSE,wet,12,14,Usa,39.29038,-76.61219
Angora,6.58,79,male,True,41,3.8,red/cream,tabby,green,FALSE,dry,23,16,Usa,40.71427,-74.00597
Angora,6.58,79,male,False,41,3.9,white,solid,amber,FALSE,dry,16,17,Canada,43.65107,-79.347015
Angora,6.67,80,male,True,40,4.8,white,solid,blue,FALSE,dry,13,14,Canada,51.049999,-114.066666
Angora,6.67,80,female,False,34,2.2,white,solid,amber,FALSE,dry,34,17,Canada,43.65107,-79.347015
Angora,6.75,81,female,False,37,2.4,white,solid,blue,FALSE,dry,16,14,Canada,45.42153,-75.697193
Angora,6.75,81,male,True,39,4.4,white,solid,amber,FALSE,dry,24,14,Canada,49.246292,-123.116226
Angora,6.75,81,male,True,40,4.5,white,solid,blue,TRUE,wet,17,14,My country,43.65107,-79.347015
Angora,6.83,82,female,False,37,2.8,white,solid,amber,FALSE,dry,36,14,Canada,45.508888,-73.561668
Angora,6.92,83,male,True,41,4.7,white,solid,blue,FALSE,wet,26,14,Canada,43.65107,-79.347015
Angora,6.92,83,male,True,38,4.5,white,solid,amber,FALSE,wet,32,16,Canada,45.508888,-73.561668
Ragdoll,6.92,83,female,True,39,4.3,white,solid,amber,FALSE,wet,22,14,Canada,49.246292,-123.116226
Ragdoll,7.0,57,male,True,41,5.0,seal,dirty,blue,TRUE,dry,20,14,Canada,49.246292,-123.116226
Ragdoll,7.0,84,male,True,39,4.4,white,solid,amber,FALSE,dry,16,14,Canada,51.049999,-114.066666
Ragdoll,7.08,85,female,False,35,2.5,white,solid,blue,FALSE,wet,27,14,Canada,45.42153,-75.697193
Ragdoll,7.17,86,male,True,40,5.4,white,solid,amber,FALSE,wet,9,20,Canada,49.246292,-123.116226
Ragdoll,7.25,87,male,False,39,4.0,white,solid,green,FALSE,wet,37,20,Canada,49.246292,-123.116226
Angora,7.25,87,male,True,36,4.9,white,solid,amber,FALSE,dry,29,19,Canada,45.508888,-73.561668
Angora,7.25,87,male,False,38,4.4,white,solid,amber,FALSE,wet,27,16,Canada,49.246292,-123.116226
Angora,7.25,87,female,False,33,4.0,black,bicolor,amber,FALSE,dry,16,14,Canada,51.049999,-114.066666
Angora,7.25,87,male,False,40,4.2,white,solid,blue,FALSE,dry,17,19,Canada,51.049999,-114.066666
Angora,7.25,87,male,True,40,5.4,red/cream,tabby,blue,FALSE,wet,12,20,Usa,47.60621,-122.33207
Angora,7.25,87,female,True,33,2.5,white,solid,blue,FALSE,dry,23,18,Usa,38.89511,-77.03637
Angora,7.33,88,male,False,41,3.9,black,bicolor,blue,FALSE,dry,27,14,Usa,37.77493,-122.41942
Angora,-7.416666667,-89,female,True,35,3.9,white,solid,blue,TRUE,dry,25,19,Usa,42.35843,-71.05977
